,cell.name,PC1.pos,PC1.neg,PC1.score,PC2.pos,PC2.neg,PC2.score,PC3.pos,PC3.neg,PC3.score,PC4.pos,PC4.neg,PC4.score,PC5.pos,PC5.neg,PC5.score,PC6.pos,PC6.neg,PC6.score,PC7.pos,PC7.neg,PC7.score,PC8.pos,PC8.neg,PC8.score,PC9.pos,PC9.neg,PC9.score,PC10.pos,PC10.neg,PC10.score,PC11.pos,PC11.neg,PC11.score,PC12.pos,PC12.neg,PC12.score,PC13.pos,PC13.neg,PC13.score,PC14.pos,PC14.neg,PC14.score,PC15.pos,PC15.neg,PC15.score,PC16.pos,PC16.neg,PC16.score,PC17.pos,PC17.neg,PC17.score,PC18.pos,PC18.neg,PC18.score,PC19.pos,PC19.neg,PC19.score,PC20.pos,PC20.neg,PC20.score,PC21.pos,PC21.neg,PC21.score,PC22.pos,PC22.neg,PC22.score,PC23.pos,PC23.neg,PC23.score,PC24.pos,PC24.neg,PC24.score,PC25.pos,PC25.neg,PC25.score,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
1,HSC02_a_p10c10r2_J22,0.728656610455827,0.13087396918799,0.597782641267838,0.61534416752131,0.228953627783745,0.386390539737565,0.420816346711737,0.689706227584091,-0.268889880872355,0.431741379673964,0.307759721428102,0.123981658245862,0.29870077780064,0.416487165434877,-0.117786387634237,0.454995673048598,0.279033836713975,0.175961836334623,0.48200643411445,0.336957977408037,0.145048456706414,0.384821774255726,0.435442489172843,-0.0506207149171171,0.459265806251607,0.390974900481605,0.0682909057700021,0.413379565190134,0.324070417541484,0.0893091476486504,0.359375531964584,0.382466041881183,-0.0230905099165989,0.352210461071979,0.279527045607434,0.072683415464545,0.390426531815015,0.559928091197138,-0.169501559382123,0.560883171370413,0.358472315327497,0.202410856042917,0.513634916172053,0.161097331803889,0.352537584368164,0.438101993310736,0.464285606711283,-0.0261836134005476,0.263992421614467,0.348618101933041,-0.0846256803185738,0.471556427955266,0.338162435252135,0.133393992703131,0.369724004162137,0.319557408637533,0.0501665955246033,0.247680231296909,0.546377558408555,-0.298697327111646,0.377442982357446,0.456133299451684,-0.0786903170942385,0.350753867751186,0.50137513253786,-0.150621264786675,0.253425279677017,0.392917223037008,-0.139491943359991,0.032174580553673,0.375473318624352,-0.343298738070679,0.421065368474248,0.0193442581042755,0.401721110369972,18.4068159060667,10.4204343814637,-6.10488570515741,0.737623827143509,-4.00373218046033,4.97200626391613,5.07049747809515,-1.17136944231937,-2.18374747672556,10.0080540912769,2.02666603129759,4.99092961596773,-7.98771442690373,6.20230333519558,2.28545197403622,-2.34769881514872,-1.53691855672862,3.42658497927247,-1.46735179245106,-1.11051289568305,-0.250072506193084,-1.83001618277493,-1.146593591138,1.59934530438378,0.0519415221489002
2,HSC02_a_p10c10r3_D23,0.458441278957174,0.103138784563765,0.355302494393409,0.374214934485182,0.181781228254354,0.192433706230828,0.282245816009487,0.34437970795326,-0.0621338919437729,0.190025894432672,0.226811407531377,-0.0367855130987049,0.368544619520664,0.127866463709261,0.240678155811403,0.240193331586069,0.141178654021329,0.0990146775647391,0.298302101234009,0.259079408893053,0.0392226923409552,0.315247063250889,0.148007779621817,0.167239283629072,0.54955190703436,0.378470051490775,0.171081855543584,0.174403689920156,0.268147470335563,-0.0937437804154067,0.174433539447263,0.192602826104369,-0.0181692866571064,0.243004795667722,0.345886108651039,-0.102881312983317,0.360686599718432,0.106091055163162,0.254595544555271,0.126927584778149,0.210757962981387,-0.0838303782032383,0.414672743965985,0.353208032845924,0.0614647111200609,0.327761512555781,0.231094424360978,0.0966670881948026,0.204287337514613,0.276327762799528,-0.0720404252849154,0.251363590716926,0.366504429473495,-0.115140838756569,0.271604143258216,0.131503236120407,0.140100907137809,0.133049848757869,0.436341059554568,-0.3032912107967,0.213751981696489,0.414126861579047,-0.200374879882558,0.147970153942241,0.428106223075037,-0.280136069132796,0.231088003856352,0.242706382639348,-0.0116183787829958,0.187234622235317,0.173249860377404,0.0139847618579135,0.245901587317773,0.147767801351061,0.0981337859667118,-10.7418422580852,9.98270042669786,-10.0599137405352,-4.37058899056642,6.03969662439433,3.83672164312527,1.1449208712214,4.81684250743481,-2.73921650172852,-3.69935102912981,-5.11015784019329,-1.63488424193888,9.31578081569301,-6.83026348462806,-1.42946145429759,1.1395644448117,-2.49752484886455,-4.34815238108953,3.52876689416558,-4.39580642749226,-7.71547033114925,-5.66177984213029,-3.601927264322,7.99014889391859,-3.20769373654058
3,HSC02_a_p10c11r2_K22,0.628733787936878,0.275423569641073,0.353310218295804,0.391147292010834,0.287243859795932,0.103903432214901,0.560969622488958,0.454879192711775,0.106090429777183,0.508868025747569,0.178961808191677,0.329906217555892,0.350932395168867,0.469675534185935,-0.118743139017068,0.368741142684275,0.313216433671977,0.0555247090122984,0.318318315508609,0.357846952983072,-0.0395286374744632,0.492890883859413,0.387976275366024,0.104914608493389,0.562961198268251,0.265678820921333,0.297282377346918,0.337394088344836,0.419873216697426,-0.0824791283525901,0.319935084403103,0.408048252237974,-0.0881131678348716,0.441585761775656,0.383847633949609,0.0577381278260468,0.453136769140597,0.383045242486409,0.0700915266541884,0.27375341611025,0.335744693934193,-0.061991277823943,0.374739417091859,0.387124161890075,-0.0123847447982162,0.441204240318622,0.319275532195811,0.121928708122812,0.311429316119365,0.398276426959601,-0.0868471108402352,0.356732592519532,0.4220845497572,-0.0653519572376678,0.414617300964759,0.285355291083511,0.129262009881248,0.347810516890732,0.526844035977306,-0.179033519086575,0.338617580092657,0.476292333276427,-0.13767475318377,0.395666327714191,0.461336672652986,-0.0656703449387949,0.41647018463395,0.322699263248487,0.0937709213854632,0.645332044237185,0.249046539733804,0.396285504503381,0.368815774254245,0.670464103882317,-0.301648329628072,9.81847085990698,3.84096342597475,-0.590662092022791,0.372457143599306,0.893987214153301,-2.5291525604395,2.41407189080818,-0.367774042676496,-1.2024554688906,-0.647790443870212,-1.26877340810138,-1.2837369139946,-0.000148124587776804,-0.814233175781457,-0.390739108611804,-0.993730779607755,-1.6941886375503,-2.41400604776332,0.283694953115648,-1.31770881682337,-2.83515767713171,-1.33042915086918,-0.284109333835013,9.23781473659573,-12.5384538819733
4,HSC02_a_p10c11r4_N23,0.762029784205061,0.11723216721429,0.644797616990771,0.372931630985188,0.23256822639526,0.140363404589928,0.228476243942462,0.645320057994253,-0.41684381405179,0.221667849530088,0.303157753039555,-0.0814899035094664,0.219052417823012,0.518159325024925,-0.299106907201912,0.33198315964096,0.332933290279346,-0.000950130638386448,0.402212953016003,0.252454549512482,0.14975840350352,0.348813564606649,0.410396538964247,-0.0615829743575982,0.390300315028219,0.272162734221984,0.118137580806235,0.471495259308558,0.2104704753225,0.261024783986058,0.351032725341452,0.364574087761345,-0.013541362419893,0.399979656255923,0.362588849664019,0.0373908065919038,0.478993444906258,0.247630424652393,0.231363020253865,0.3171039916976,0.3350207828161,-0.0179167911184991,0.387690088221398,0.264975112202887,0.122714976018511,0.365871946119975,0.342625129187095,0.0232468169328802,0.330822713907691,0.50703860922194,-0.176215895314249,0.434829011781016,0.228068354958166,0.20676065682285,0.504011148646567,0.399795415252818,0.104215733393749,0.352418049278057,0.4735029180588,-0.121084868780743,0.350659894491515,0.478566154561218,-0.127906260069703,0.367642366357137,0.395189261607584,-0.027546895250447,0.342798640246923,0.308258339500111,0.0345403007468124,0,0.369047372375172,-0.369047372375172,0.307601518961842,0,0.307601518961842,13.1010287668877,8.73118273343123,-11.1499565901214,-0.723603491195055,-10.8807005448558,-6.24588563268683,6.29528744262491,-6.44025959400252,-3.78147786240135,12.4204139646041,-0.968866270074656,1.31184994311373,5.80980969988094,-5.86117232819015,-0.289178945562091,-1.30428505201387,-1.47550503728276,2.39179230028395,2.31867876445132,2.27542669461989,1.48507339594555,0.336692905501171,1.01836990043893,-0.715648434784035,-0.936160718519132
5,HSC02_a_p10c12r2_L22,0.695297412117549,0.0932943603617301,0.602003051755818,0.551307306030868,0.181051970701634,0.370255335329233,0.362219903763984,0.528430221814429,-0.166210318050445,0.337256492388734,0.504927344278817,-0.167670851890083,0.482527112488476,0.376823643099053,0.105703469389424,0.353875090611283,0.414153764277761,-0.0602786736664778,0.420183458333531,0.392132221033759,0.0280512372997724,0.379555883360481,0.478452562270696,-0.0988966789102145,0.437452069159419,0.352204241065282,0.0852478280941375,0.300152276567302,0.419613006342153,-0.119460729774851,0.462099397298871,0.343911397546517,0.118187999752354,0.382983832636138,0.285333766709309,0.097650065926829,0.453264739841294,0.506169098801168,-0.0529043589598733,0.368232245884458,0.564772692607831,-0.196540446723373,0.489524716667002,0.439390722067641,0.0501339945993619,0.352375781719942,0.47959567175945,-0.127219890039508,0.461986199488495,0.222735341195791,0.239250858292704,0.38753272524266,0.477095504901503,-0.0895627796588425,0.440910078395152,0.45265774605443,-0.0117476676592775,0.415712969673144,0.486238997283654,-0.0705260276105103,0.395592484243814,0.435442322766112,-0.0398498385222988,0.337521964085614,0.50067037657794,-0.163148412492326,0.314794953744024,0.521098975961879,-0.206304022217856,0.0141940624468588,0.374299686055725,-0.360105623608866,0.525414849107602,0.014408479733471,0.511006369374131,18.171170027271,11.7057232851477,-0.0165444120995561,-7.45642627166797,5.43289571489701,-2.43931937377831,4.76300450317133,-1.42599922418478,-1.69329009312703,0.526886130252702,2.79471508934415,4.42262631667263,-3.39493826010273,-10.7873558291664,-3.47064103520702,-5.36515182213874,8.44333136864981,-1.15440307350294,-2.23761036816868,0.540468321269964,3.66468599570797,-1.3716452803438,-7.71797690335823,1.1934074735763,0.0461735938113871
6,HSC02_a_p10c12r3_F23,0.362763839806115,0.277555278705617,0.0852085611004982,0.489692081117003,0.137342967772893,0.35234911334411,0.449247407832992,0.314942888146304,0.134304519686688,0.390416588797795,0.236210850720956,0.154205738076839,0.401850198909323,0.320160325177038,0.081689873732285,0.286465614699649,0.282765984777057,0.00369962992259137,0.288085403696528,0.487683388727175,-0.199597985030647,0.468960424311296,0.384268290852404,0.0846921334588919,0.40133766099529,0.386821925642312,0.0145157353529775,0.393934752342314,0.415753206124331,-0.0218184537820165,0.229261238273493,0.505548373818368,-0.276287135544875,0.396575650332744,0.345962547640265,0.0506131026924782,0.316242739911916,0.43489183641811,-0.118649096506194,0.509548305708982,0.328930672908391,0.180617632800592,0.368604975940897,0.308874304017543,0.0597306719233538,0.52283454119333,0.309638507577724,0.213196033615606,0.315577916432852,0.420150282085452,-0.1045723656526,0.296657776422841,0.343611156878285,-0.0469533804554447,0.459672334076863,0.235240925536716,0.224431408540147,0.436226005323927,0.414107897844452,0.0221181074794742,0.414777384445666,0.373121799313279,0.0416555851323867,0.316924879925221,0.355483091646381,-0.0385582117211596,0.396334216538541,0.356402195972076,0.0399320205664653,0.909770460395238,0.0865423333437983,0.82322812705144,0.247718678540343,0.900729352192935,-0.653010673652592,8.02139910893507,7.39854377475718,9.13884673277064,-0.176332070151873,-0.493055222578926,-3.03778201091906,-2.64633761016668,5.7240757485383,-4.45245321313312,10.6876708845706,-12.4402375374325,-5.61824816301975,-5.0377676062735,-0.874938775263582,1.38839041747798,4.90122201447747,-3.52718381397632,-1.38825053288404,6.16006403036884,9.18804351231901,2.43610069173449,4.3392136070364,-1.99586757204221,26.2126439555688,-33.6920822720407
7,HSC02_a_p10c1r2_C22,0.557644314141342,0.222061730366704,0.335582583774638,0.564490529120603,0.25234714759432,0.312143381526283,0.527336472669929,0.464392571182027,0.0629439014879022,0.406921882884221,0.27940915293146,0.127512729952762,0.454494390057296,0.281714109363841,0.172780280693455,0.267672513964856,0.358998146662998,-0.0913256326981421,0.418104961970503,0.290983727496766,0.127121234473737,0.404545847704824,0.446173042730653,-0.0416271950258297,0.57823601694769,0.241591214772558,0.336644802175132,0.19760316640034,0.49200899291459,-0.29440582651425,0.260714496757948,0.446222704050819,-0.185508207292872,0.185979613736857,0.394570564711414,-0.208590950974557,0.377291338179175,0.446585526901974,-0.0692941887227995,0.44683354788241,0.36771104511838,0.0791225027640298,0.295356159138633,0.400452527623502,-0.105096368484869,0.405378126434803,0.347852917546592,0.0575252088882107,0.311965687358353,0.405453356738198,-0.0934876693798451,0.420011065425832,0.300414616518533,0.119596448907298,0.345881972909728,0.311271382022372,0.0346105908873555,0.194639224468997,0.485508680275825,-0.290869455806829,0.431840857280331,0.386025360581457,0.0458154966988736,0.245629750588635,0.518023763822162,-0.272394013233527,0.359405304766723,0.383971542223202,-0.0245662374564795,0.069554418901535,0.257919562068895,-0.18836514316736,0.376488072238224,0.0201738416535713,0.356314230584653,7.35448639517988,6.28120155013456,3.15968757331977,0.160797788008223,5.5532186459781,-3.37669970591774,8.94771721082483,-2.22872398337319,6.0158029293187,-4.4307427423409,-3.9307023892609,-6.86102433350427,4.72707071702509,3.4913737313875,-4.20005256031369,-1.37342809354785,-0.420777058442775,1.75713386507814,0.402880063324567,-1.05846840853974,0.31783154287877,-3.94425526264809,-6.06730327340204,2.60003908098014,-3.16964470680389
8,HSC02_a_p10c2r1_J21,0.321022608927074,0.181207908754653,0.139814700172421,0.400887873304424,0.193151280454036,0.207736592850388,0.275459052332207,0.380694525184251,-0.105235472852044,0.35320902678823,0.358935162768424,-0.00572613598019422,0.424196374703977,0.360962550912593,0.0632338237913841,0.294906239451158,0.404911082554606,-0.110004843103449,0.343242053012595,0.150254596229925,0.19298745678267,0.379541720280349,0.217554174294577,0.161987545985772,0.573630539228745,0.11521595299082,0.458414586237925,0.240133594780692,0.429413899293804,-0.189280304513112,0.401996197535407,0.354820094428202,0.047176103107205,0.272491561161656,0.351877779581251,-0.0793862184195957,0.317243036818773,0.393563485928092,-0.0763204491093192,0.353755135796924,0.198297322590387,0.155457813206537,0.275194706768999,0.250726523902919,0.0244681828660805,0.321820112300078,0.24811074354437,0.0737093687557084,0.274398154133101,0.413066339111863,-0.138668184978762,0.422714036004226,0.195406092246745,0.227307943757481,0.260524704077507,0.311184379626222,-0.0506596755487152,0.235586418020081,0.43064327483442,-0.195056856814339,0.278394029374867,0.215863018186602,0.0625310111882649,0.377768757151281,0.313746748439316,0.0640220087119653,0.483701136833521,0.159014136421802,0.324687000411719,0.0879109050168903,0.341688008692846,-0.253777103675956,0.396335025154004,0.0232690059822653,0.373066019171739,-2.36692283925955,8.55192779545022,-6.72242577350896,-8.80572349719045,4.18720973793035,-3.0198976013293,13.1685756935352,6.86142704265957,5.03066080921878,-3.08807910796849,-2.13709414609939,-0.892631393246026,-3.14107175781818,5.03387013626978,-2.24324747452633,-0.92528112183716,-5.45459967743316,4.79676804495143,-0.577575758530071,-6.74598047214749,2.79020351155821,0.0812890970688632,5.81207888435018,-0.355818325766868,-0.999353523396634
9,HSC02_a_p10c2r2_D22,0.694119493972581,0.120712358761525,0.573407135211056,0.471281666572155,0.163706002779418,0.307575663792737,0.372927849754338,0.519463073138781,-0.146535223384444,0.440974823822551,0.421127562554562,0.0198472612679881,0.485946605771585,0.39411707600057,0.0918295297710145,0.303653366695396,0.511388034378666,-0.20773466768327,0.580338677574856,0.415328676200129,0.165010001374727,0.452437033310416,0.438596988566226,0.0138400447441899,0.55194830791483,0.347893813929933,0.204054493984897,0.267314955108533,0.418773921153641,-0.151458966045109,0.484247194449947,0.326592364448361,0.157654830001586,0.38113604308282,0.462646400164603,-0.0815103570817821,0.502691431164204,0.4482738394952,0.0544175916690043,0.431518538580962,0.334105107602835,0.0974134309781268,0.487874874293075,0.437160510077829,0.0507143642152459,0.393826151046092,0.35052875701145,0.0432973940346421,0.307388609033401,0.37589051324483,-0.0685019042114287,0.314481634175256,0.476107750653364,-0.161626116478108,0.325015504560513,0.318398009313975,0.00661749524653849,0.289930041414741,0.539609257127876,-0.249679215713135,0.382409721143419,0.454956268176147,-0.0725465470327281,0.390710676818638,0.583730682619233,-0.193020005800595,0.473399261171186,0.240059408220438,0.233339852950748,0.803217705423738,0.173598675905508,0.629619029518229,0.220152832133839,0.765548157266991,-0.545395325133152,20.8717815049854,5.49222496829666,-0.929655711171081,0.591846041598748,-0.854891553625765,-3.52117545661835,5.66822330055435,0.814642965401314,-0.537457226710517,1.07151549436538,2.59715287731415,1.60145036122512,3.85099670087479,0.331965057590398,2.51325276837628,-4.94710398241553,-0.686605607106297,-7.58216175199207,-4.67887850531799,1.27980159227826,-1.25334388223649,-5.129102986648,1.95338304010968,24.0852782443879,-28.2906813163522
10,HSC02_a_p10c2r3_M22,0.42248832479474,0.222477329570807,0.200010995223933,0.382702748311427,0.376328866517736,0.00637388179369103,0.407969931828309,0.315725851219598,0.0922440806087108,0.400950144733751,0.334496916658656,0.0664532280750952,0.276005675259969,0.352835613420951,-0.076829938160982,0.33089859866088,0.429842944815691,-0.0989443461548119,0.334835436237386,0.298039819485859,0.0367956167515268,0.292909963585733,0.264776174590775,0.0281337889949578,0.475905408896409,0.172711378133639,0.30319403076277,0.217172442933707,0.392098721749058,-0.174926278815351,0.332178886284827,0.542587279582954,-0.210408393298128,0.381486036028506,0.188980404473005,0.192505631555501,0.26153241086177,0.504886664432572,-0.243354253570802,0.292898397885534,0.400588849150136,-0.107690451264602,0.353086050853604,0.343580506679087,0.00950554417451688,0.430522633817574,0.27610349461015,0.154419139207424,0.353954574423015,0.313291308887867,0.0406632655351475,0.455531511146236,0.251905551108086,0.20362596003815,0.270937085077586,0.423988401405475,-0.153051316327888,0.410685609272325,0.528432285676291,-0.117746676403966,0.264685126128438,0.433140114489489,-0.168454988361051,0.409280866154057,0.313186584053637,0.0960942821004201,0.412218132528742,0.415876991316014,-0.00365885878727185,0.0228365488252139,0.325826439870202,-0.302989891044989,0.36587174034704,0,0.36587174034704,2.64244367388667,1.51427238867387,3.31749169564973,-1.83955187015269,0.734256749749672,-2.49643484834354,2.7208419873542,4.7448193400868,2.28941190057034,0.280943907015281,-3.91048107413956,3.97508220450197,-1.36298931252212,-4.35070324430397,-5.1887940784493,3.22284520467584,-0.819383194536557,4.20067852362552,-2.45861201491734,2.64078488167916,-1.93304708143866,6.05732333860491,2.27417431618253,-0.915312423032737,-2.76652641030734
